politician_name,revision_id
Astrojildo Pereira,1225818171
Carlos Neder,1246065514
Domingos Gomes de Aguiar Neto,1178155220
Henrique Pizzolato,1146046975
Hildebrando Pascoal,1088472912
Joaquim Alvaro Pereira Leite,1240167587
Mario Pinotti,1249739851
Irondi Pugliesi,1226012000
Marcio Pochmann,1227539038
Marco Antonio Raupp,1240228814
Presidency of Castelo Branco,1247853934
Presidency of Eurico Gaspar Dutra,1240095314
Presidency of Fernando Henrique Cardoso,1247854957
Presidency of Itamar Franco,1247855190
Presidency of Juscelino Kubitschek,1247853887
Renan Contar,1245624959
Ary Rigo,1232333312
Betinho Rosado,1246064759
Eduardo Rocha,1193380607
Fabiano Silveira,1232432585
Rosana Martinelli,1230117539
Evaristo da Veiga,1149938942
Jose de Sousa Campos,1015210781
Nelson Trad Filho,1201215647
Vittorio Sorotiuk,1246065682
Aleksandar Alekov,1215311752
Anyu Angelov,1215311929
Atanas Zapryanov,1241175591
Augusto Ximeno de Villeroy,1216910276
Hristo Atanassov,1215320743
Murilo Zauith,1191804969
Zeca do PT,1232505950
Alexander Bogoridi,1242153001
Dzhevdet Chakarov,1245989144
Lea Cohen,1215313537
Stanislav Daskalov,1236020876
Tsvetko Boboshevski,1222513400
Vasil Chichibaba,1215313341
Vladimir Damgov,1215314052
Aleksi Ivanov,1215314827
Georgi Gvozdeykov,1243679989
Goritsa Grancharova,1244496816
Grozdan Karadzhov,1250148087
Ivan Demerdzhiev,1246703703
Ivancho Hadzhipenchovich,1215314724
Tsoncho Ganev,1240457984
Valentin Fortunov,1215314438
Vladimir Karolev,1183947838
Gavril Krastevich,1242153020
Georgi Kirkov,1215315466
Ivan Kondov,1244791314
Ivan Marazov,1215315878
Lazar Lazarov,1215860047
Nikola Lazarov,1246693713
